epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1651.26,1.10647,2.83805,1.49109,0.56134,0.43133,0.42323,0.28429,1.02604,2.66477,1.45409,0.000275963,0.000275963,0.000275963
2,3851.03,1.10193,2.05091,1.43803,0.46595,0.56937,0.50732,0.32305,1.12659,2.37729,1.46398,0.000526225,0.000526225,0.000526225
3,5305.84,1.09918,1.80714,1.41597,0.67148,0.53941,0.60361,0.43069,1.02145,1.85315,1.37817,0.000748998,0.000748998,0.000748998
4,6162.21,1.07685,1.63341,1.38526,0.56377,0.58348,0.61339,0.42885,1.01937,1.78417,1.40311,0.000709299,0.000709299,0.000709299
5,66615,1.06288,1.47451,1.36901,0.56893,0.53288,0.56194,0.39281,1.11299,1.74647,1.418,0.000668066,0.000668066,0.000668066
6,87287.6,1.03287,1.34339,1.34886,0.64783,0.7155,0.74652,0.52956,0.99425,1.34875,1.34638,0.000626832,0.000626832,0.000626832
7,166391,0.98817,1.23835,1.31333,0.57174,0.63014,0.60047,0.43752,1.01024,1.60373,1.39082,0.000585599,0.000585599,0.000585599
8,167265,0.99233,1.1887,1.31072,0.62845,0.67289,0.7018,0.51947,0.91942,1.30595,1.30432,0.000544365,0.000544365,0.000544365
9,173543,0.94411,1.07713,1.2788,0.66619,0.67356,0.72044,0.53722,0.8892,1.13905,1.2672,0.000503132,0.000503132,0.000503132
10,176397,0.93603,1.06413,1.27323,0.70092,0.73886,0.75669,0.56889,0.86701,1.06244,1.24359,0.000461898,0.000461898,0.000461898
11,177947,0.81033,0.87342,1.27746,0.68009,0.72561,0.75977,0.58918,0.84848,1.09498,1.23712,0.000420665,0.000420665,0.000420665
12,234707,0.7627,0.74442,1.24155,0.69101,0.74356,0.78072,0.59104,0.84947,1.01631,1.24066,0.000379431,0.000379431,0.000379431
13,252953,0.74619,0.68959,1.22024,0.76581,0.70836,0.78345,0.60803,0.80211,0.9834,1.20054,0.000338198,0.000338198,0.000338198
14,254511,0.71816,0.63258,1.20004,0.75789,0.75651,0.80391,0.61917,0.8159,0.94575,1.20476,0.000296964,0.000296964,0.000296964
15,255957,0.70051,0.58381,1.1869,0.7277,0.75311,0.7989,0.60984,0.82438,0.97212,1.22611,0.000255731,0.000255731,0.000255731
16,257081,0.67824,0.55526,1.17108,0.79032,0.75653,0.82298,0.63871,0.81903,0.90415,1.205,0.000214497,0.000214497,0.000214497
17,258097,0.64261,0.51161,1.13976,0.78965,0.72932,0.81726,0.63507,0.78247,0.90976,1.19342,0.000173264,0.000173264,0.000173264
18,259018,0.62879,0.48377,1.12463,0.78543,0.78138,0.81631,0.62971,0.80886,0.92505,1.20951,0.000132031,0.000132031,0.000132031
19,260705,0.61474,0.47103,1.11684,0.82148,0.73699,0.81893,0.63967,0.78444,0.90996,1.20414,9.0797e-05,9.0797e-05,9.0797e-05
20,262425,0.59137,0.44088,1.09779,0.78798,0.79108,0.81768,0.64467,0.76848,0.87476,1.1946,4.95635e-05,4.95635e-05,4.95635e-05
